
 num     #instances         #bytes  class name
 398:             5            120  org.junit.jupiter.engine.support.OpenTest4JAndJUnit4AwareThrowableCollector
 399:             5            120  org.junit.platform.engine.support.discovery.SelectorResolver$Resolution
 400:             7            112  com.intellij.rt.debugger.agent.CaptureAgent$ParamKeyProvider
 401:             7            112  java.io.FileInputStream$1
 402:             7            112  java.lang.Class$3
 403:             2            112  org.junit.jupiter.engine.descriptor.TestMethodTestDescriptor
 404:             7            112  org.junit.platform.launcher.TestPlan$$Lambda$149/2027775614
 405:             3             96  [F
 406:             2             96  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic;
 407:             3             96  [Lorg.junit.jupiter.engine.discovery.MethodSelectorResolver$MethodType;
 408:             1             96  [[J
 409:             3             96  java.io.FileOutputStream
 410:             6             96  java.lang.ClassLoader$2
 411:             3             96  java.lang.StringCoding$StringEncoder
 412:             2             96  java.lang.ThreadGroup
 413:             3             96  java.lang.ThreadLocal$ThreadLocalMap$Entry
 414:             4             96  java.math.MathContext
 415:             4             96  java.util.Collections$2
 416:             4             96  java.util.ServiceLoader$1
 417:             4             96  java.util.concurrent.ConcurrentHashMap$KeySetView
 418:             4             96  java.util.concurrent.atomic.AtomicLong
 419:             4             96  java.util.function.Predicate$$Lambda$201/1105423942
 420:             4             96  java.util.function.Predicate$$Lambda$28/1260134048
 421:             4             96  java.util.regex.Pattern$5
 422:             4             96  java.util.stream.StreamShape
 423:             4             96  org.junit.jupiter.engine.execution.JupiterEngineExecutionContext
 424:             4             96  org.junit.platform.engine.discovery.ClassSelector
 425:             4             96  org.junit.platform.engine.support.discovery.ClassContainerSelectorResolver
 426:             4             96  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolution$DefaultContext
 427:             4             96  org.junit.platform.engine.support.discovery.EngineDiscoveryRequestResolver$DefaultInitializationContext
 428:             4             96  org.junit.platform.launcher.core.EngineDiscoveryOrchestrator$$Lambda$21/230835489
 429:             1             96  sun.misc.Launcher$AppClassLoader
 430:             2             96  sun.nio.cs.StreamEncoder
 431:             4             96  sun.reflect.Label$PatchInfo
 432:             3             96  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 433:             2             96  sun.util.locale.provider.LocaleResources$ResourceReference
 434:             1             88  java.util.jar.JarVerifier
 435:             1             88  sun.misc.Launcher$ExtClassLoader
 436:             1             80  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 437:             2             80  [Lorg.apiguardian.api.API$Status;
 438:             2             80  [Lorg.junit.runners.model.RunnerBuilder;
